,stars,forks,top1_share,gini_contrib,bus_factor_proxy_k50,scorecard_score,governance_artifact_score,governance_index,external_contributor_ratio,transparency_index,contributor_count,vuln_total,vuln_severe,has_severe_vuln
stars,1.0,0.890698954562621,-0.1880484002745228,-0.2554191451770555,0.2915781903815712,0.14563006328772318,0.28615931395097266,0.21946169804863927,0.09138410588631461,0.2331283299454336,0.2653814532612018,0.6326598798437348,0.6466968770935632,0.2916775193203357
forks,0.890698954562621,1.0,-0.20411224368336386,-0.3337490491904938,0.33462227165134856,0.18782265037602705,0.22780074636113934,0.24677493467590472,0.10318469648802213,0.19082383627400742,0.19758952505076716,0.8211260881790836,0.8259780352951107,0.2662840897199012
top1_share,-0.1880484002745228,-0.20411224368336386,1.0,0.5862910738612095,-0.7573511710104998,-0.33694759202594027,-0.18731221916080273,-0.26358432317439145,0.039191577917346634,-0.29735844240548814,-0.44623362739359496,-0.06357222541618734,-0.08401854245064797,-0.15381761640996805
gini_contrib,-0.2554191451770555,-0.3337490491904938,0.5862910738612095,1.0,-0.6685970402017395,-0.10569446713732567,-0.15122690987643933,-0.0673849443250422,-0.016042393867267683,0.051567871491580736,0.01808253165794935,-0.2071564199414118,-0.20607268987052804,0.03505280430794451
bus_factor_proxy_k50,0.2915781903815712,0.33462227165134856,-0.7573511710104998,-0.6685970402017395,1.0,0.28114324792703566,0.2546008870959871,0.24262346243904398,-0.008497440305570328,0.20972759355572326,0.3070884601807468,0.10388915855482707,0.13006267057684712,0.08204354122275746
scorecard_score,0.14563006328772318,0.18782265037602705,-0.33694759202594027,-0.10569446713732567,0.28114324792703566,1.0,0.43589778327320167,0.7846354806718145,-0.07923521724358029,0.1890931862110802,0.2882212666134599,0.12914744811985773,0.13764828846187202,0.24140116619732732
governance_artifact_score,0.28615931395097266,0.22780074636113934,-0.18731221916080273,-0.15122690987643933,0.2546008870959871,0.43589778327320167,1.0,0.7746807458605599,0.02328573737113081,0.19561622099485793,0.26543538958923507,0.1512190483186715,0.15823896781749763,0.1477949270552979
governance_index,0.21946169804863927,0.24677493467590472,-0.26358432317439145,-0.0673849443250422,0.24262346243904398,0.7846354806718145,0.7746807458605599,1.0,0.03773676697977023,0.2612675974184571,0.3182175515511321,0.16987571529300513,0.18096892293845218,0.24166769320775572
external_contributor_ratio,0.09138410588631461,0.10318469648802213,0.039191577917346634,-0.016042393867267683,-0.008497440305570328,-0.07923521724358029,0.02328573737113081,0.03773676697977023,1.0,0.6957072713915736,0.15213692539220086,0.09379567323765389,0.10821314622152603,0.17630568628853074
transparency_index,0.2331283299454336,0.19082383627400742,-0.29735844240548814,0.051567871491580736,0.20972759355572326,0.1890931862110802,0.19561622099485793,0.2612675974184571,0.6957072713915736,1.0,0.7779108752500138,0.1078704125117358,0.12471861256067819,0.2688384015650458
contributor_count,0.2653814532612018,0.19758952505076716,-0.44623362739359496,0.01808253165794935,0.3070884601807468,0.2882212666134599,0.26543538958923507,0.3182175515511321,0.15213692539220086,0.7779108752500138,1.0,0.0803985653708863,0.09233299529843401,0.2379718799397897
vuln_total,0.6326598798437348,0.8211260881790836,-0.06357222541618734,-0.2071564199414118,0.10388915855482707,0.12914744811985773,0.1512190483186715,0.16987571529300513,0.09379567323765389,0.1078704125117358,0.0803985653708863,1.0,0.9878772015495637,0.20127766993266583
vuln_severe,0.6466968770935632,0.8259780352951107,-0.08401854245064797,-0.20607268987052804,0.13006267057684712,0.13764828846187202,0.15823896781749763,0.18096892293845218,0.10821314622152603,0.12471861256067819,0.09233299529843401,0.9878772015495637,1.0,0.24556986195745956
has_severe_vuln,0.2916775193203357,0.2662840897199012,-0.15381761640996805,0.03505280430794451,0.08204354122275746,0.24140116619732732,0.1477949270552979,0.24166769320775572,0.17630568628853074,0.2688384015650458,0.2379718799397897,0.20127766993266583,0.24556986195745956,1.0
